UserInfoID,CityID,FirstName,LastName,BirthDate,Email,PhoneNumber,Password,IsDeleted
1,1,Eugenia,Caracciolo,2001-06-04,leonegioele@example.org,+39 345181960,$2b$04$Kjfw3EfsSzqDBapGA4IgjOLWSJ0v/Zk0l9BtXng96sw/lbJEuwS22,0
2,1,Giustino,Battaglia,1996-06-20,hvalguarnera@example.com,+39 093249593,$2b$04$KcI..JCWfykd/nUDKpT8ZuIWG0c9FzoSQl/KUkTtYFu0n3I/Aj25.,0
3,1,Gioele,Dalla,1993-09-04,rparisi@example.net,NULL,$2b$04$0Rmd1Av1QrUYMPnPqPjMa.4CoevLFYbnYxh1V4q1o6QcnWOEn43FS,0
4,2,Elladio,Gradenigo,2005-09-10,ludovica96@example.net,NULL,$2b$04$8ejEtbP.J/QWRGoqJJcOeeQnY7Itp1MmZOgZMdBznzILuC69qNOHG,0
5,3,Giuliana,Valier,1996-10-07,marissa51@example.com,0375704828,$2b$04$nKV60hYW6xyjZxz1NEGlbeTKqsizU8Wh5AGSJFeZtv3IjxopmnRZm,0
6,1,Patrizia,Bompiani,2000-05-03,dionigisiffredi@example.net,NULL,$2b$04$IeNn.0VlptiXM7Gxvc1FL.uL1GnpcnRDa35ABHINk3M7hxFqrT7R2,0
7,1,Gianmarco,Galuppi,1995-05-15,bondumierisabella@example.net,+39 0445105187,$2b$04$ohvU1CRsc970dFa9sD0iK.Rimu3Y8OaoqKgHYq79E13H2UjGA6/86,0
8,2,Lilla,Morlacchi,2002-06-12,grassofredo@example.org,0364624738,$2b$04$t798iZcp/gAOaJXhfB.9LeNRFE59/0Jn.1akYRqzM8d076BrTVkPq,0
9,2,Lisa,Vivaldi,2005-10-21,mcostanzi@example.com,+39 377909805,$2b$04$iV3qFSnZdZgFUE8vHD4Q6OiuicIXxYz5ljCSTob/xQ7CnzMTLIr3i,0
10,3,Luchino,Gulotta,2000-03-15,gemmamazzocchi@example.org,0732247519,$2b$04$kk1g1/LwE7FmH87pG.oeWOHCELmy1xkEF8jK3Cbf4is.6vlWAd4dq,0
11,3,Francesca,Cammarata,1990-04-22,giustinocarpaccio@example.org,+39 05324935384,$2b$04$gc.5DwX1N.OsKBv50VNFKeVPOIrQwL38.kQMZFEd69sxleQkzhyDK,0
12,1,Berenice,Viola,2000-01-26,puccioceravolo@example.org,05870533189,$2b$04$i4UNTMC7i0vLVABMU6Z.teIvxmatrnodzBod6awu1cAWbvWucqAPq,0
